src_ip,dst_ip,protocol,src_port,dst_port,pkt_len
108.177.127.101,10.0.0.121,UDP,443.0,62670.0,66
172.64.148.235,10.0.0.121,TCP,443.0,64078.0,78
10.0.0.121,172.64.148.235,TCP,64078.0,443.0,82
172.64.148.235,10.0.0.121,TCP,443.0,64078.0,60
10.0.0.121,157.240.212.23,TCP,62541.0,443.0,90
157.240.212.23,10.0.0.121,TCP,443.0,62541.0,60
10.0.0.121,102.132.101.18,TCP,62671.0,443.0,74
10.0.0.121,192.168.1.1,UDP,52225.0,53.0,82
102.132.101.18,10.0.0.121,TCP,443.0,62671.0,74
10.0.0.121,102.132.101.18,TCP,62671.0,443.0,66
10.0.0.121,102.132.101.18,TCP,62671.0,443.0,448
10.0.0.121,102.132.101.18,TCP,62671.0,443.0,1446
10.0.0.121,102.132.101.18,TCP,62671.0,443.0,243
10.0.0.121,192.168.1.1,UDP,52225.0,53.0,82
102.132.101.18,10.0.0.121,TCP,443.0,62671.0,66
102.132.101.18,10.0.0.121,TCP,443.0,62671.0,66
102.132.101.18,10.0.0.121,TCP,443.0,62671.0,1446
102.132.101.18,10.0.0.121,TCP,443.0,62671.0,1446
102.132.101.18,10.0.0.121,TCP,443.0,62671.0,1446
102.132.101.18,10.0.0.121,TCP,443.0,62671.0,417
10.0.0.121,102.132.101.18,TCP,62671.0,443.0,66
10.0.0.121,102.132.101.18,TCP,62671.0,443.0,66
10.0.0.121,102.132.101.18,TCP,62671.0,443.0,66
10.0.0.121,102.132.101.18,TCP,62671.0,443.0,66
10.0.0.121,192.168.1.1,UDP,52078.0,53.0,92
10.0.0.121,102.132.101.18,TCP,62671.0,443.0,124
10.0.0.121,102.132.101.18,TCP,62671.0,443.0,1446
10.0.0.121,102.132.101.18,TCP,62671.0,443.0,237
102.132.101.18,10.0.0.121,TCP,443.0,62671.0,243
192.168.1.1,10.0.0.121,UDP,53.0,52225.0,122
10.0.0.121,102.132.101.18,TCP,62671.0,443.0,66
10.0.0.121,192.168.1.1,UDP,52078.0,53.0,92
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,1287
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,1292
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,467
102.132.101.18,10.0.0.121,TCP,443.0,62671.0,66
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,180
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,213
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,66
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,80
192.168.1.1,10.0.0.121,UDP,53.0,52078.0,218
10.0.0.121,172.178.240.162,TCP,7978.0,443.0,74
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,68
102.132.101.18,10.0.0.121,TCP,443.0,62671.0,92
10.0.0.121,102.132.101.18,TCP,62671.0,443.0,66
172.178.240.162,10.0.0.121,TCP,443.0,7978.0,74
10.0.0.121,172.178.240.162,TCP,7978.0,443.0,66
10.0.0.121,172.178.240.162,TCP,7978.0,443.0,263
172.178.240.162,10.0.0.121,TCP,443.0,7978.0,1514
10.0.0.121,172.178.240.162,TCP,7978.0,443.0,66
10.0.0.121,95.100.100.114,UDP,51408.0,443.0,71
172.178.240.162,10.0.0.121,TCP,443.0,7978.0,1514
172.178.240.162,10.0.0.121,TCP,443.0,7978.0,1514
172.178.240.162,10.0.0.121,TCP,443.0,7978.0,239
10.0.0.121,172.178.240.162,TCP,7978.0,443.0,66
10.0.0.121,172.178.240.162,TCP,7978.0,443.0,224
95.100.100.114,10.0.0.121,UDP,443.0,51408.0,66
172.178.240.162,10.0.0.121,TCP,443.0,7978.0,117
10.0.0.121,172.178.240.162,TCP,7978.0,443.0,1489
10.0.0.121,172.178.240.162,TCP,7978.0,443.0,1494
172.178.240.162,10.0.0.121,TCP,443.0,7978.0,66
10.0.0.121,172.178.240.162,TCP,7978.0,443.0,1494
10.0.0.121,172.178.240.162,TCP,7978.0,443.0,1494
10.0.0.121,172.178.240.162,TCP,7978.0,443.0,1494
